task_id,arrival_time,category,latency,start_time,wait_time,service_time,response_time,accepted,end_time,deadline,status,task_microservices,completed_microservices
88,8040,1,230.15682481616,8170.42374848,130.42374847999963,1.0945077176844826,131.77412468237435,True,8171.774124682374,8176,completed,"[269, 270, 271]","{269, 270, 271}"
89,8130,3,49.116327893128,8173.99081824992,43.99081824992027,2.1579034937651445,46.15091774368557,True,8176.150917743686,8250,completed,"[272, 273]","{272, 273}"
90,8190,2,405.88900620264,8262.755991136,72.75599113600038,1.4501201736472171,136.17971916718852,True,8326.179719167189,8359,completed,"[274, 275, 276, 277, 278]","{274, 275, 276, 277, 278}"
91,8340,2,324.96848258472,8371.5220793792,31.522079379199567,4.1344973976750605,136.49274882298414,True,8476.492748822984,8499,completed,"[279, 280, 281, 282]","{280, 281, 282, 279}"
92,8460,2,462.10002198704,8576.20404103904,116.20404103904002,3.966416689310345,142.204761475512,True,8602.204761475512,8612,completed,"[283, 284, 285, 286]","{283, 284, 285, 286}"
93,8580,2,353.70548887088,8669.91601255568,89.91601255567912,17.05727996501525,105.67298290961298,True,8685.672982909613,8744,completed,"[287, 288, 289, 290]","{288, 289, 290, 287}"
94,8700,1,272.12262211199993,8777.628210368,77.62821036800051,0.13253242309600002,99.35162749805568,True,8799.351627498056,8840,completed,"[291, 292, 293]","{291, 292, 293}"
95,8790,2,506.37917237224,8810.71466830088,20.714668300879566,2.8462426475945013,148.40795594325573,True,8938.407955943256,8948,completed,"[294, 295, 296, 297, 298]","{294, 295, 296, 297, 298}"
96,8940,3,0,,0,0,,False,8968.082452953999,9069,rejected,"[299, 300]",{299}
97,9000,3,0,,0,0,,False,,9109,rejected,[301],set()
98,9030,1,336.61249678176,9119.316104608,89.31610460800039,0.7326773879786206,130.8657151715597,True,9160.86571517156,9187,completed,"[302, 303, 304]","{304, 302, 303}"
99,9120,2,387.50189365384,9137.97569979992,17.97569979991931,15.777058897346013,129.86336815622963,True,9249.86336815623,9291,completed,"[305, 306, 307, 308, 309]","{305, 306, 307, 308, 309}"
