task_id,microservice_id,instructions,bytes,dependencies,storage_req,status,arrival_time,start_time,latency,wait_time,service_time,response_time,spin_up_delay,end_time,deadline,assigned_resource,nearest_resource,resource_IPT,resource_storage
61,185,3192.473437,949.6210217,,34.86260672,rejected,5460,,0,0,0,0,0.0,,5619,,Edge_cloud(0),,
61,186,3603.002347,517.773392,,26.5337128,completed,5460,5543.2689614335995,83.2689614336,0,1.2424146024137932,167.7803374696141,0.0,5544.511376036014,5619,Edge_cloud(1),Edge_cloud(0),2900,64
61,187,2206.238882,102.7356965,,48.86963942,completed,5460,5492.96542288,32.965422880000006,0,0.04412477764,65.97497053763982,0.0,5493.00954765764,5619,CentralCloud(4),Edge_cloud(0),50000,1000000
62,188,1601.567449,757.0750094,,8.960550478,completed,5610,5731.74866151152,121.74866151152001,3.552713678800501e-13,0.43285606729729725,243.93017909033824,0.0,5732.181517578818,5773,Edge_cloud(3),Edge_cloud(3),3700,64
62,189,4814.84326,497.0117891,188,30.43269612,completed,5610,5769.133772512,159.133772512,1.7053025658242404e-13,0.0962968652,318.36384188920056,5732.490317578818,5769.2300693772,5773,CentralCloud(4),Edge_cloud(3),50000,1000000
62,190,4825.992303,309.4230035,188,25.07070002,completed,5610,5732.497357578818,99.10536112,23.391996458818085,0.09651984606,221.69923854487752,5732.497357578818,5732.593877424878,5773,CentralCloud(4),Edge_cloud(3),50000,1000000
63,191,1518.238203,496.5039958,,10.52885089,completed,5700,5779.84884252464,79.84884252464,0,0.5235304148275862,160.22121546410654,0.0,5780.372372939467,5802,Edge_cloud(1),Edge_cloud(3),2900,64
64,192,2450.162974,527.219704,,37.74953117,rejected,5730,,0,0,0,0,0.0,,5885,,Edge_cloud(0),,
64,193,4866.936377,567.084582,192,14.49989298,rejected,5730,,0,0,0,0,5837.0645796577455,,5885,,Edge_cloud(0),,
64,194,123.8551975,446.8114765,193,19.70378114,rejected,5730,,0,0,0,0,5839.063473580849,,5885,,Edge_cloud(0),,
65,195,2122.123417,609.6977501,,19.36669791,completed,5820,5918.05039821608,98.05039821608001,0,0.5735468694594594,196.67434330161905,0.0,5918.623945085539,6003,Edge_cloud(3),Edge_cloud(1),3700,64
65,196,592.2419934,919.5473635,195,12.96601919,completed,5820,5967.8742160508,147.8742160508,0,5.3840181218181815,301.13245022341835,5918.626197085539,5973.258234172618,6003,Edge_cloud(0),Edge_cloud(1),110,64
65,197,2594.874031,368.6454062,"196,195",22.10456125,completed,5820,5973.630394172618,118.05652998400001,35.573864188618245,0.05189748062,271.7388216372383,5973.630394172618,5973.682291653238,6003,CentralCloud(4),Edge_cloud(1),50000,1000000
65,198,220.8827772,728.4592986,"197,196,195",24.19394817,rejected,5820,,0,0,0,0,0,,6003,,Edge_cloud(1),,
66,199,2093.802314,895.5080313,,37.46686197,rejected,5940,,0,0,0,0,0,,6052,,Edge_cloud(1),,
67,200,1181.425466,461.419483,,38.48836014,completed,5970,6044.2072528664,74.2072528664,2.7000623958883807e-13,0.4073880917241379,148.82189382452452,0.0,6044.614640958124,6095,Edge_cloud(1),Edge_cloud(1),2900,64
67,201,2713.210976,449.021278,,8.769242446,completed,5970,6042.2136215024,72.2136215024,1.9895196601282805e-13,0.9355899917241379,145.36283299652496,0.0,6043.149211494125,6095,Edge_cloud(2),Edge_cloud(1),2900,32
68,202,4980.368881,606.0958155,,30.04584267,completed,6030,6127.4712071324,97.4712071324,1.9895196601282805e-13,1.3460456435135135,196.2884599083136,0.0,6128.817252775913,6183,Edge_cloud(3),Edge_cloud(3),3700,64
68,203,4022.626915,595.4926918,202,44.91369212,completed,6030,6128.817252775913,95.76622484144,3.051027934473396,1.0871964635135134,195.67067408086677,6128.817252775913,6129.904449239427,6183,Edge_cloud(3),Edge_cloud(3),3700,64
68,204,4243.646249,808.5234489,203,6.330543835,completed,6030,6160.02157058312,130.02157058312,0,1.1469314186486488,261.1900725848882,6129.904449239427,6161.1685020017685,6183,Edge_cloud(3),Edge_cloud(3),3700,64
68,205,3212.798438,481.7185499,"204,203",24.17278818,completed,6030,6161.170690801769,77.47134282392001,53.6993479778486,1.1078615303448276,209.74989515603374,6161.170690801769,6162.278552332114,6183,Edge_cloud(1),Edge_cloud(3),2900,64
69,206,303.6432565,996.1617201,,37.767303,rejected,6150,,0,0,0,0,0,,6274,,Edge_cloud(2),,
69,207,1113.308613,68.87685318,206,30.96307538,rejected,6150,,0,0,0,0,0,,6274,,Edge_cloud(2),,
